,Variable,Wave 1,Wave 2,Wave 3,Labels,Page,German Question,English Question,Values
Education Father,demographic_app.1.player.edu_father,Yes,Yes,No,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie den höchsten Bildungsabschluss an, den Ihr Vater erreicht hat.""","""Please select the highest education level reached by your father.""",0 = no degree; 1 = primary school with degree; 2 = secondary school graduation; 3 = higher school without graduation; 4 = high school graduation; 5 = other degree; -999 = no answer
Education Mother,demographic_app.1.player.edu_mother,Yes,Yes,No,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie den höchsten Schulabschluss an, den Ihre Mutter erreicht hat.""","""Please select the highest education level reached by your mother.""",0 = no degree; 1 = primary school with degree; 2 = secondary school graduation; 3 = higher school without graduation; 4 = high school graduation; 5 = other degree; -999 = no answer
Work Education Father,demographic_app.1.player.work_edu_father	,No,No,Yes,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie den höchsten beruflichen Bildungsabschluss an, den Ihre Mutter erreicht hat.""","""Please select the highest working education level reached by your father.""","0 = no working education; 1 = workplace education with certificate; 2 = partial vocational training; 3 = vocational training; 4 = vocational school qualification; 5 = technical school qualification; 6 = master, technician or equivalent technical school qualification; 7 = higher school degree (also degree from an engineering school); 8 = university degree; -999 = no answer"
Work Education Mother,demographic_app.1.player.work_edu_mother	,No,No,Yes,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie den höchsten beruflichen Bildungsabschluss an, den Ihr Vater erreicht hat.""","""Please select the highest working education level reached by your mother.""","0 = no working education; 1 = workplace education with certificate; 2 = partial vocational training; 3 = vocational training; 4 = vocational school qualification; 5 = technical school qualification; 6 = master, technician or equivalent technical school qualification; 7 = higher school degree (also degree from an engineering school); 8 = university degree; -999 = no answer"
Occupation Father,demographic_app.1.player.ocu_father,Yes,Yes,Yes,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie an, ob Ihr Vater berufstätig ist.""","""Please select if your father currently has an occupaton.""","0 = not employed; 1 = emplyed, part-time; 2 = employed, full-time; -999 = no answer"
Occupation Mother,demographic_app.1.player.ocu_mother,Yes,Yes,Yes,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie an, ob Ihre Mutter berufstätig ist.""","""Please select if your mother currently has an occupaton.""","0 = not employed; 1 = emplyed, part-time; 2 = employed, full-time; -999 = no answer"
Age,demographic_app.1.player.age,Yes,Yes,Yes,Field,GenderAge - DemographicApp,“Bitte geben Sie Ihr Alter in Jahren an.”,“Please enter your age in years.”,"min 10, max 100"
Gender,demographic_app.1.player.gender,Yes,Yes,Yes,Selection,GenderAge - DemographicApp,“Bitte geben Sie Ihr Geschlecht an.”,“Please enter your gender.”,1 = female; 2 = male; 3 = diverse; 4 = no answer
Semester of Study,demographic_app.1.player.semester_of_study	,No,No,Yes,Field,Study - DemographicApp,"""In welchem Fachsemester befinden Sie sich?""","""What semester of study are you in?""",
Consecutive Study Program,demographic_app.1.player.consecutive_study_program	,No,No,Yes,Selection,Study - DemographicApp,"""Wollen Sie unmittelbar nach dem BA-Studium Ihre akademische Laufbahn fortsetzen und welchen Abschluss streben Sie an?""","""Do you plan to continue your academic career after your BA studies and which degree do you aim for?""",0 = No; 1 = Master's Degree; 2 = PhD Doctor's Degree; -999 = Don't know
Study Program,demographic_app.1.player.study_program	,No,No,Yes,Selection,Study - DemographicApp,"""In welchem der folgenden Studiengänge sind Sie eingeschrieben?""","""In which of the following study programs are you enrolled?""",1 = BA. Politics - Administration - Management; 2 = B.Ed. Political Science as minor subject; 3 = MSc. Wirtschaftspädagogik; 4 = MSc. Social and Economic Data Science (SEDS); -999 = No Answer
Other Study Program,demographic_app.1.player.study_program_other	,No,No,Yes,Field,Study - DemographicApp,"""In welchem der folgenden Studiengänge sind Sie eingeschrieben?""","""In which of the following study programs are you enrolled?""",
Postcode,demographic_app.1.player.postcode,Yes,Yes,Yes,Field,Postcode - DemographicApp,"""Wie lauten die ersten beiden Ziffern der Postleitzahl des Wohnortes, an dem Sie wohnhaft waren, während Sie Ihr Abitur gemacht haben? Falls Sie im Ausland gewohnt haben, geben Sie bitte ""00"" an.""","""What are the first two digits of the postcode of your place of residence at the time when you completed high school? If you lived outside of Germany, please type in ""00"".""",
Tutorial,demographic_app.1.player.tutorial,Yes,Yes,Yes,Selection,Tutorials - DemographicApp,"""An welchem Tutorium nehmen Sie teil?""","""In which tutorial do you participate?""",0 = none; 1 = Robin; 2 = Mike; 3 = Philipp; 4 = Alban; 5 = Finn; 6 = Nils; 7 = Marlene; 8 = Theresa
Grade,demographic_app.1.player.grade,Yes,Yes,Yes,Selection,Tutorials - DemographicApp,"""Welche Note erwarten Sie für sich in der Klausur dieser Vorlesung am Ende des Semesters?""","""What grade do you expect to receive in the final exam of this lecture at the end of the semester?""",1.0; 1.3; 1.7; 2.0; 2.3; 2.7; 3.0; 3.3; 3.7; 4.0; 5.0; -999 = no answer
Fresherscamp,demographic_app.1.player.fresherscamp_student,No,No,Yes,Selection,FreshersCamp - DemographicApp,"""Waren Sie zu Beginn diesen Semesters auf dem Erstihof?""","""Did you go to a freshers camp at the beginning of this semester?""",0 = No; 1 = Camp 1; 2 = Camp 2; 3 = Camp 3; 4 = Camp 4
Freshersweek,demographic_app.1.player.freshersweek_student	,No,No,Yes,Selection,FreshersCamp - DemographicApp,"""Haben Sie an Veranstaltungen der Erstiwoche teilgenommen?""","""Did you participate in any events of the ""freshers"" week?""",0 = No; 1 = Yes
Social Network Facebook,demographic_app.1.player.social_networks_1,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network Twitter,demographic_app.1.player.social_networks_2,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network LinkedIn,demographic_app.1.player.social_networks_3	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network Instagram,demographic_app.1.player.social_networks_4	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network Signal,demographic_app.1.player.social_networks_5,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network YouTube,demographic_app.1.player.social_networks_6	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network Snapchat,demographic_app.1.player.social_networks_7	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network WhatsApp,demographic_app.1.player.social_networks_8,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network TikTok,demographic_app.1.player.social_networks_9	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network Telegram,demographic_app.1.player.social_networks_10	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Social Network Other,demographic_app.1.player.social_networks_11,No,Yes,Yes,Field,Participation - DemographicApp,"""Welche der sozialen Plattformen nutzen Sie? (Mehrfachnennung möglich, sonstige können in das Textfeld eingetragen werden).""","""Which of the social platforms do you use? (Multiple choices possible, enter other platforms in the field).""",0 = no use; 1 = use
Participation Demonstration,demographic_app.1.player.participation_demonstration,No,Yes,Yes,Selection,Participation - DemographicApp,"""Haben Sie schon einmal an einer Demonstration teilgenommen?""","""Have you ever participated in a demonstration?""",1 = Yes; 2 = No
Participation Demonstration Initiative,demographic_app.1.player.participation_demonstration_1	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Ihre Teilnahme an dieser Demonstration erfogte""","""Your participation in this demonstration was""",1 = on your own initiative; 2 = because you accompanied someone to this demonstration
Petition Signatory,demographic_app.1.player.petition_signatory	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Haben Sie schon einmal eine Petition unterschrieben?""","""Have you ever signed a petition?""",1 = Yes; 2 = No
Petition Awareness,demographic_app.1.player.petition_signatory_1	,No,Yes,Yes,Selection,Participation - DemographicApp,"""Sie sind auf diese Petition""","""You have become aware of this petition""",1 = yourself; 2 = through others
Participant Code,network_app.1.player.participantcode,Yes,Yes,Yes,Field,Participantcode - NetworkApp,"""Bitte tragen Sie nun Ihren eigenen Umfragecode in das Textfeld ein. Ihr Umfragecode besteht aus drei Buchstaben und Zahlen. Auf der folgenden Seite können Sie die Umfrage Codes von Ihrem sozialen Netzwerk angeben.""","""Please enter your own survey code (composed of three letters and numbers). On the following page, you can enter the survey codes of your social network:""",
Left-Right Self-Assessment,network_app.1.player.linksrechts_self,Yes,Yes,Yes,Selection,LeftrightSelfassessment - NetworkApp,"""Viele Leute verwenden die Begriffe links (1) und rechts (11), wenn es darum geht, unterschiedliche politische Einstellungen zu kennzeichnen. Wenn Sie an Ihre eigenen politischen Ansichten denken, wo würden Sie sich selbst auf dieser Skala einstufen?""","""A lot of people use the terms left"" (1) and right (11) when it comes to labeling different political attitudes. When you think of your own political views, where would you place yourself on this scale?""",1 (left) - 11 (right)
Sunday Poll,political_app.1.player.sunday_poll,Yes,Yes,Yes,Selection,Sonntagsfrage - PoliticalApp,"""Nun möchten wir Ihnen einige Fragen zu politikwissenschaftlich relevanten Themen stellen. Wenn am nächsten Sonntag Bundestagswahl wäre, würden Sie dann zur Wahl gehen?""","""We would now like to ask you a few questions on topics relevant to political science. If there were a German general election on next Sunday, would you go to the polls?""",1 = yes; 2 = don't know; 3 = no; 4 = not eligible to vote
Sunday Party Vote (Eligible),political_app.1.player.sunday_party_vote,Yes,Yes,Yes,Selection,Sonntagsfrage - PoliticalApp,"""Und welche Partei würden Sie wählen?""","""And which party wpuld you vote for?""",1 = SPD; 2 = CDU/CSU; 3 = Bündnis 90/Die Grünen; 4 = FDP; 5 = Die Linke; 6 = AfD; 7 = BSW; 8 = another party 
Sunday Vote (Not Eligible),political_app.1.player.sunday_not_eligible,Yes,Yes,Yes,Selection,Sonntagsfrage - PoliticalApp,"""Vorausgesetzt Sie dürften wählen, würden Sie dann zur Wahl gehen?""","""If you were allowed to vote, would you go to the polls?""",1 = yes; 2 = no; 3 = don't know
Sunday Party Vote (Not Eligible),political_app.1.player.noteligible_sunday_party_vote,Yes,Yes,Yes,Selection,Sonntagsfrage - PoliticalApp,"""Und welche Partei würden Sie wählen?""","""And which party wpuld you vote for?""",1 = SPD; 2 = CDU/CSU; 3 = Bündnis 90/Die Grünen; 4 = FDP; 5 = Die Linke; 6 = AfD; 7 = BSW; 8 = another party 
Reason No Vote,political_app.1.player.reason_no_vote	,No,Yes,Yes,Field,Sonntagsfrage - PoliticalApp,"""Warum würden Sie nicht wählen gehen?""","""Why would you go not voting?""",
Scale CDU,political_app.1.player.scalo_cdu	,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale CSU,political_app.1.player.scalo_csu	,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale SPD,political_app.1.player.scalo_spd,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Gruene,political_app.1.player.scalo_gruene,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale FDP,political_app.1.player.scalo_fdp	,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale AfD,political_app.1.player.scalo_afd,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Linke,political_app.1.player.scalo_linke	,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale BSW,political_app.1.player.scalo_bsw,Yes,Yes,Yes,Selection,ScaloParty - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden einzelnen Parteien? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5 mit einem Nullpunkt in der Mitte. +5 bedeutet, dass Sie sehr viel von der Partei halten; -5 bedeutet, dass Sie überhaupt nichts von der Partei halten. Mit den Werten dazwischen können Sie Ihre Meinung abstufen.""","""How much do you like or dislike each of the following parties? Please use the scale below ranging from -5 to +5 with 0 indicating the middle. +5 means that you strongly like the party; -5 means that you strongly dislike the party. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Olaf Scholz,political_app.1.player.scalo_pep1	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Kamala Harris,political_app.1.player.scalo_pep2	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Karl Lauterbach,political_app.1.player.scalo_pep3	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Christian Lindner,political_app.1.player.scalo_pep4	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Friedrich Merz,political_app.1.player.scalo_pep5	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Wolodymyr Selenskyj,political_app.1.player.scalo_pep6	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Donald Trump,political_app.1.player.scalo_pep7,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Robert Habeck,political_app.1.player.scalo_pep8	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Greta Thunberg,political_app.1.player.scalo_pep9,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Vladimir Putin,political_app.1.player.scalo_pep10,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
Scale Björn Höcke,political_app.1.player.scalo_pep11	,Yes,Yes,Yes,Selection,ScaloPerson - PoliticalApp,"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""","""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""",-5 (strong dislike) - +5 (strong like); -999 No Answer
